Month,Dollars per Million Btu
Oct 1997,3.243
Sep 1997,2.873
Aug 1997,2.462
Jul 1997,2.134
Jun 1997,2.161
May 1997,2.253
Apr 1997,2.005
Mar 1997,1.899
Feb 1997,2.065
Jan 1997,3.067
Dec 1996,3.645
Nov 1996,3.023
Oct 1996,2.481
Sep 1996,1.933
Aug 1996,2.049
Jul 1996,2.521
Jun 1996,2.544
May 1996,2.283
Apr 1996,2.309
Mar 1996,2.353
Feb 1996,2.458
Jan 1996,2.483
Dec 1995,2.459
Nov 1995,1.961
Oct 1995,1.79
Sep 1995,1.674
Aug 1995,1.557
Jul 1995,1.494
Jun 1995,1.634
May 1995,1.707
Apr 1995,1.66
Mar 1995,1.534
Feb 1995,1.439
Jan 1995,1.426
Dec 1994,1.7
Nov 1994,1.771
Oct 1994,1.721
Sep 1994,1.619
Aug 1994,1.693
Jul 1994,1.963
Jun 1994,2.08
May 1994,1.941
Apr 1994,2.111
Mar 1994,2.109
Feb 1994,2.355
Jan 1994,2.347
